axis,claude_sonnet5,qwen37plus,deepseek_instant,deepseek_expert,deepseek_deepthink,perplexity,gemini_31_pro,kimi_instant,mistral_large3,gpt5,grok4,llama4
inference_engine,MLX + llama-swap,MLX + llama.cpp fallback (custom model manager),Rapid-MLX (FABRICATED) + llama.cpp fallback,llama.cpp + MLX,Ollama (MLX backend) + llama.cpp diagnostic,Ollama first then MLX-native server; llama.cpp diagnostic only,llama.cpp server FIRST (Ollama as backend); MLX only an alternative,Ollama 0.19+ (MLX backend) as the server,,,,
heavy_local_model,Qwen3-Coder-30B-A3B 4bit (MoE),Qwen2.5-Coder 32B Q4_K_M (dense),Qwen3-Coder-30B-A3B (MoE) + "Gemma 4 26B" (NOT REAL),Qwen3-Coder-30B-A3B Q4_K_M (MoE),"Qwen3.5-35B-A3B" Q4_K_M (FABRICATED tag; real is 30B-A3B),Qwen3-Coder-30B-A3B Q4 (only for high-value jobs),Qwen2.5-Coder-32B Q4_K_M (dense; 2024-era),Qwen3-Coder-30B-A3B Q4_K_M (MoE),,,,
resident_light_model,Qwen3-4B,Qwen2.5 7B,"Qwen3.5-9B / Qwen3.5-4B (versions fabricated)",Qwen3-14B,"Ornith-1.0-9B (FABRICATED) + Qwen2.5-Coder-7B",Qwen 3/3.5 4B-8B instruct helper,Qwen2.5-Coder-7B or Llama-3.1-8B (Q8_0),(none separate; swap coder <-> Qwen3.6-35B / gpt-oss-20B),,,,
mid_reasoner_model,gpt-oss-20b (MoE),Qwen2.5 32B (dense),"Gemma 4 26B (not real)",Phi-4-14B (dense),"Qwen3.5-35B-A3B for research (fabricated tag)",primary model or 8B general,DeepSeek-R1-Distill-Qwen-14B Q8_0 (2024),Qwen3.6 35B-A3B (swap-in for research/planning),,,,
num_models_resident,"2 (light + one of heavy/mid)","2-3 (7B router + embed always; one 32B hot)",1 large at a time (+ small),1 large + 2 small,"3 'always loaded' (own diagram) -> ~32-34GB",1 heavy at a time; +1 helper only if headroom,1 (hot-swap coder <-> R1; never both); 2 llama.cpp slots of that one model,1 large at a time (Ollama swap 5-15s),,,,
model_swapping_recommended,yes essential,yes (hot-swap 32B; accept 2-5s),yes (5-10s on demand),yes but cap 2 swaps/hour (anti-thrash),yes (idle>5min OR mem>90%),yes; keep primary unloaded except when active,yes (unload coder -> load R1 -> reason -> swap back on 2x fail),yes (Ollama swap; do NOT run two 20GB+ models),,,,
orchestration_stance,multiple + thin custom glue,thin custom orchestrator + existing runtimes,custom orchestrator on "DSH" (FABRICATED),custom Python orchestrator + Claude Code CLI,custom Python + Smolagents/"LightAgent" (LightAgent fabricated),small custom Python supervisor built with LangGraph,custom Python async engine on LangGraph core,lightweight custom Python + asyncio; explicitly NOT LangGraph,,,,
orchestration_framework,Claude Agent SDK + Goose,custom Python + Aider + OpenHands,"DeepSeek Harness (DSH) / Local DSH — FABRICATED",custom + Claude Code + Aider,"Smolagents + 'LightAgent'",LangGraph (durable state machine) + SQLite,LangGraph (deterministic stateful graph + checkpoints),custom Python + asyncio (LangGraph in the 'do not install' list),,,,
build_vs_adopt,adopt + ~500-1500 lines glue,custom orchestrator calling specialist runtimes,custom coordinator around DSH,build custom orchestrator (hardware-aware scheduler),custom lightweight Python layer,small custom supervisor; LangGraph for state; OpenHands for exec,custom async engine + Aider subprocess; LangGraph core,build lightweight custom orchestrator; Aider/OpenCode/OpenHands as executors,,,,
coding_agent,Claude Code + Goose(local),Aider (primary) + custom wrapper,DSH built-in tools,Claude Code (custom fork) + Aider,Aider + "Ornith as Claude Code backend" (fabricated),OpenHands SDK (local Docker worktrees) + custom supervisor,Aider headless (API bridge to llama.cpp; tree-sitter repo map),Aider (primary) + OpenCode (secondary) + OpenHands Docker (autonomous),,,,
